SL.,Facility Level,Facility Code,Facility Name,Facility Type,Division Name,District Name
1746,UHC,10001870,"Mirpur Upazila Health Complex, Kushtia",Upazila Health Complex,Khulna,Kushtia
1750,UHC,10001882,"Mohammadpur Upazila Health Complex, Magura",Upazila Health Complex,Khulna,Magura
1751,UHC,10001885,"Shalikha Upazila Health Complex, Magura",Upazila Health Complex,Khulna,Magura
1752,UHC,10001891,"Gangni Upazila Health Complex, Meherpur",Upazila Health Complex,Khulna,Meherpur
1754,UHC,10001902,"Mujibnagar Upazila Health Complex, Meherpur",Upazila Health Complex,Khulna,Meherpur
1755,UHC,10001904,"Kalia Upazila Health Complex, Narail",Upazila Health Complex,Khulna,Narail
1756,UHC,10001914,"Assasuni Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1757,UHC,10001917,"Debhata Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1758,UHC,10001918,"Kalaroa Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1760,UHC,10001928,"Shyamnagar Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1761,UHC,10001930,"Tala Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1762,UHC,10001933,"Amtali Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1765,UHC,10001937,"Bamna Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1766,UHC,10001945,"Betagi Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1767,UHC,10001947,"Patharghata Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1768,UHC,10001948,"Agailjhara Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1769,UHC,10001955,"Babuganj Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1771,UHC,10001963,"Bakerganj Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1772,UHC,10001966,"Banaripara Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1779,UHC,10001982,"Gournadi Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1780,UHC,10001984,"Hijla Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1781,UHC,10001988,"Mehendiganj Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1782,UHC,10001991,"Muladi Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1783,UHC,10001997,"Wazirpur Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1785,UHC,10002004,"Borhanuddin Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1786,UHC,10002006,"Charfession Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1788,UHC,10002008,"Daulatkhan Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1790,UHC,10002015,"Lalmohan Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1791,UHC,10002017,"Manpura Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1792,UHC,10002018,"Tajumuddin Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1794,UHC,10002027,"Kathalia Upazila Health Complex, Jhalokati",Upazila Health Complex,Barishal,Jhalokati
1795,UHC,10002028,"Nalchity  Upazila Health Complex, Jhalokati",Upazila Health Complex,Barishal,Jhalokati
1796,UHC,10002029,"Rajapur Upazila Health Complex, Jhalokati",Upazila Health Complex,Barishal,Jhalokati
1797,UHC,10002033,"Bauphal Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1798,UHC,10002034,"Dashmina Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1799,UHC,10002035,"Dumki Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1800,UHC,10002039,"Galachipa Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1801,UHC,10002042,"Kalapara Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1804,UHC,10002048,"Mirzaganj Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1806,UHC,10002055,"Bhandaria Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1807,UHC,10002056,"Kawkhali Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1808,UHC,10002058,"Mathbaria Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1809,UHC,10002061,"Nazirpur Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1810,UHC,10002063,"Nesarabad Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1812,UHC,10002069,"Indurkani Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1813,UHC,10002074,"Ajmiriganj Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1814,UHC,10002075,"Bahubal Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1815,UHC,10002077,"Baniachong Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1816,UHC,10002078,"Chunarughat Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1817,UHC,10002085,"Lakhai Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1818,UHC,10002088,"Madhabpur Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1819,UHC,10002094,"Nabiganj Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1820,UHC,10002096,"Barlekha Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1821,UHC,10002097,"Juri Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1822,UHC,10002101,"Kamalganj Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1823,UHC,10002106,"Kulaura Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1825,UHC,10002119,"Rajnagar Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1827,UHC,10002125,"Sreemangal Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1828,UHC,10002127,"Biswambarpur Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1829,UHC,10002130,"Chhatak Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1831,UHC,10002134,"Shantiganj Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1832,UHC,10002136,"Derai Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1833,UHC,10002138,"Dharmapasha Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1835,UHC,10002143,"Doarabazar Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1836,UHC,10002149,"Jagannathpur Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1837,UHC,10002150,"Jamalganj Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1838,UHC,10002152,"Sulla Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1840,UHC,10002160,"Taherpur Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1841,UHC,10002164,"Balaganj Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1842,UHC,10002172,"Beanibazar Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1843,UHC,10002177,"Bishwanath Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1845,UHC,10002181,"Fenchuganj Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1846,UHC,10002182,"Golapganj Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1847,UHC,10002186,"Gowainghat Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1848,UHC,10002188,"Jaintapur Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1849,UHC,10002189,"Kanaighat Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1857,UHC,10002204,"Zakiganj Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1858,UHC,10002206,"Kachua Upazila Health Complex, Bagerhat",Upazila Health Complex,Khulna,Bagerhat
1859,UHC,10002207,"Kaliganj Upazila Health Complex, Lalmonirhat",Upazila Health Complex,Rangpur,Lalmonirhat
1860,UHC,10002208,"Sreepur Upazila Health Complex, Magura",Upazila Health Complex,Khulna,Magura
1861,UHC,10002209,"Companiganj Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1862,UHC,10002210,"Shibganj Upazila Health Complex, Chapai Nawabganj",Upazila Health Complex,Rajshahi,Chapai Nawabganj
1863,UHC,10002211,"Lohagara Upazila Health Complex, Narail",Upazila Health Complex,Khulna,Narail
1864,UHC,10002212,"Kaliganj Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1865,UHC,10002213,"Kaliganj Upazila Health Complex, Jhenaidah",Upazila Health Complex,Khulna,Jhenaidah
1866,UHC,10002214,"Daulatpur Upazila Health Complex, Kushtia",Upazila Health Complex,Khulna,Kushtia
1868,UHC,10002223,"Nangolkot Upazila Health Complex, Cumilla",Upazila Health Complex,Chattogram,Cumilla
1869,UHC,10002231,"Pirganj Upazila Health Complex, Thakurgaon",Upazila Health Complex,Rangpur,Thakurgaon
1870,UHC,10002232,"Nawabganj Upazila Health Complex, Dinajpur",Upazila Health Complex,Rangpur,Dinajpur
1871,UHC,10002235,"Fulbari Upazila Health Complex, Kurigram",Upazila Health Complex,Rangpur,Kurigram
1872,UHC,10002243,"Dakshin Surma Upazila Health Complex, Sylhet",Upazila Health Complex,Sylhet,Sylhet
1879,UHC,10002304,"Durgapur Upazila Health Complex, Netrakona",Upazila Health Complex,Mymensingh,Netrakona
1883,UHC,10013106,"Saltha Upazila Health Complex, Faridpur",Upazila Health Complex,Dhaka,Faridpur
1885,UHC,10013108,"Bijoynagar Upazila Health Complex, Brahmanbaria",Upazila Health Complex,Chattogram,Brahmanbaria
1928,UHC,10025126,"Shayestaganj Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1938,UHC,BGD25271,"Director,Communicable Disease & Work Program , BRAC, Mohakhali, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1962,UHC,BGD25303,"Chief of Party, Save the Children, HIV Program, Dhaka, Bangladesh, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1980,UHC,BGD25322,"Karnaphuli Upazila Health Complex, Chattogram",Upazila Health Complex,Chattogram,Chattogram
1998,UHC,BGD25340,"Tarakanda Upazila Health Complex, Mymensingh",Upazila Health Complex,Mymensingh,Mymensingh
2010,UHC,BGD36636,"Senior Director,Health & Humanitarian Crisis Management Programme , BRAC, Mohakhali, Dhaka",Upazila Health Complex,Dhaka,Dhaka
1710,UHC,10001731,"Damurhuda Upazila Health Complex, Chuadanga",Upazila Health Complex,Khulna,Chuadanga
1711,UHC,10001734,"Jibannagar Upazila Health Complex, Chuadanga",Upazila Health Complex,Khulna,Chuadanga
1712,UHC,10001737,"Abhoynagar Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1713,UHC,10001741,"Bagharpara Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1714,UHC,10001744,"Chowgacha Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1717,UHC,10001759,"Jhikargacha Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1718,UHC,10001760,"Keshabpur Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1719,UHC,10001763,"Monirampur Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1720,UHC,10001768,"Sharsha Upazila Health Complex, Jashore",Upazila Health Complex,Khulna,Jashore
1721,UHC,10001771,"Harinakunda Upazila Health Complex, Jhenaidah",Upazila Health Complex,Khulna,Jhenaidah
1722,UHC,10001780,"Kotchandpur Upazila Health Complex, Jhenaidah",Upazila Health Complex,Khulna,Jhenaidah
1723,UHC,10001785,"Moheshpur Upazila Health Complex, Jhenaidah",Upazila Health Complex,Khulna,Jhenaidah
1724,UHC,10001790,"Shailkupa Upazila Health Complex, Jhenaidah",Upazila Health Complex,Khulna,Jhenaidah
1725,UHC,10001792,"Batiaghata Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1726,UHC,10001794,"Dacope Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1727,UHC,10001797,"Dighalia Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1728,UHC,10001799,"Dumuria Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1729,UHC,10001801,"Phultala Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1736,UHC,10001817,"Koyra Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1738,UHC,10001824,"Paikgacha Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1739,UHC,10001826,"Rupsha Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1740,UHC,10001828,"Terokhada Upazila Health Complex, Khulna",Upazila Health Complex,Khulna,Khulna
1741,UHC,10001830,"Bheramara Upazila Health Complex, Kushtia",Upazila Health Complex,Khulna,Kushtia
1742,UHC,10001842,"Khoksha Upazila Health Complex, Kushtia",Upazila Health Complex,Khulna,Kushtia
1743,UHC,10001848,"Kumarkhali Upazila Health Complex, Kushtia",Upazila Health Complex,Khulna,Kushtia
1746,UHC,10001870,"Mirpur Upazila Health Complex, Kushtia",Upazila Health Complex,Khulna,Kushtia
1750,UHC,10001882,"Mohammadpur Upazila Health Complex, Magura",Upazila Health Complex,Khulna,Magura
1751,UHC,10001885,"Shalikha Upazila Health Complex, Magura",Upazila Health Complex,Khulna,Magura
1752,UHC,10001891,"Gangni Upazila Health Complex, Meherpur",Upazila Health Complex,Khulna,Meherpur
1754,UHC,10001902,"Mujibnagar Upazila Health Complex, Meherpur",Upazila Health Complex,Khulna,Meherpur
1755,UHC,10001904,"Kalia Upazila Health Complex, Narail",Upazila Health Complex,Khulna,Narail
1756,UHC,10001914,"Assasuni Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1757,UHC,10001917,"Debhata Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1758,UHC,10001918,"Kalaroa Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1760,UHC,10001928,"Shyamnagar Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1761,UHC,10001930,"Tala Upazila Health Complex, Satkhira",Upazila Health Complex,Khulna,Satkhira
1762,UHC,10001933,"Amtali Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1765,UHC,10001937,"Bamna Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1766,UHC,10001945,"Betagi Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1767,UHC,10001947,"Patharghata Upazila Health Complex, Barguna",Upazila Health Complex,Barishal,Barguna
1768,UHC,10001948,"Agailjhara Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1769,UHC,10001955,"Babuganj Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1771,UHC,10001963,"Bakerganj Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1772,UHC,10001966,"Banaripara Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1779,UHC,10001982,"Gournadi Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1780,UHC,10001984,"Hijla Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1781,UHC,10001988,"Mehendiganj Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1782,UHC,10001991,"Muladi Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1783,UHC,10001997,"Wazirpur Upazila Health Complex, Barishal",Upazila Health Complex,Barishal,Barishal
1785,UHC,10002004,"Borhanuddin Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1786,UHC,10002006,"Charfession Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1788,UHC,10002008,"Daulatkhan Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1790,UHC,10002015,"Lalmohan Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1791,UHC,10002017,"Manpura Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1792,UHC,10002018,"Tajumuddin Upazila Health Complex, Bhola",Upazila Health Complex,Barishal,Bhola
1794,UHC,10002027,"Kathalia Upazila Health Complex, Jhalokati",Upazila Health Complex,Barishal,Jhalokati
1795,UHC,10002028,"Nalchity  Upazila Health Complex, Jhalokati",Upazila Health Complex,Barishal,Jhalokati
1796,UHC,10002029,"Rajapur Upazila Health Complex, Jhalokati",Upazila Health Complex,Barishal,Jhalokati
1797,UHC,10002033,"Bauphal Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1798,UHC,10002034,"Dashmina Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1799,UHC,10002035,"Dumki Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1800,UHC,10002039,"Galachipa Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1801,UHC,10002042,"Kalapara Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1804,UHC,10002048,"Mirzaganj Upazila Health Complex, Patuakhali",Upazila Health Complex,Barishal,Patuakhali
1806,UHC,10002055,"Bhandaria Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1807,UHC,10002056,"Kawkhali Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1808,UHC,10002058,"Mathbaria Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1809,UHC,10002061,"Nazirpur Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1810,UHC,10002063,"Nesarabad Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1812,UHC,10002069,"Indurkani Upazila Health Complex, Pirojpur",Upazila Health Complex,Barishal,Pirojpur
1813,UHC,10002074,"Ajmiriganj Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1814,UHC,10002075,"Bahubal Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1815,UHC,10002077,"Baniachong Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1816,UHC,10002078,"Chunarughat Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1817,UHC,10002085,"Lakhai Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1818,UHC,10002088,"Madhabpur Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1819,UHC,10002094,"Nabiganj Upazila Health Complex, Habiganj",Upazila Health Complex,Sylhet,Habiganj
1820,UHC,10002096,"Barlekha Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1821,UHC,10002097,"Juri Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1822,UHC,10002101,"Kamalganj Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1823,UHC,10002106,"Kulaura Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1825,UHC,10002119,"Rajnagar Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1827,UHC,10002125,"Sreemangal Upazila Health Complex, Maulvibazar",Upazila Health Complex,Sylhet,Maulvibazar
1828,UHC,10002127,"Biswambarpur Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1829,UHC,10002130,"Chhatak Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1831,UHC,10002134,"Shantiganj Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1832,UHC,10002136,"Derai Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1833,UHC,10002138,"Dharmapasha Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1835,UHC,10002143,"Doarabazar Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1836,UHC,10002149,"Jagannathpur Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1837,UHC,10002150,"Jamalganj Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1838,UHC,10002152,"Sulla Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
1840,UHC,10002160,"Taherpur Upazila Health Complex, Sunamganj",Upazila Health Complex,Sylhet,Sunamganj
